Index,Date,MaxTemp
490,2019-05-06,59
491,2019-05-07,61
492,2019-05-08,68
493,2019-05-09,67
494,2019-05-10,66
495,2019-05-11,70
496,2019-05-12,69
497,2019-05-13,65
498,2019-05-14,62
499,2019-05-15,52
500,2019-05-16,41
501,2019-05-17,43
502,2019-05-18,44
503,2019-05-19,36
504,2019-05-20,45
505,2019-05-21,36
506,2019-05-22,52
507,2019-05-23,55
508,2019-05-24,56
509,2019-05-25,54
510,2019-05-26,42
511,2019-05-27,44
512,2019-05-28,64
513,2019-05-29,64
514,2019-05-30,61
515,2019-05-31,67
516,2019-06-01,69
517,2019-06-02,68
518,2019-06-03,72
519,2019-06-04,77
520,2019-06-05,75
521,2019-06-06,65
522,2019-06-07,57
523,2019-06-08,68
524,2019-06-09,75
525,2019-06-10,79
526,2019-06-11,82
527,2019-06-12,80
528,2019-06-13,76
529,2019-06-14,76
530,2019-06-15,74
531,2019-06-16,75
532,2019-06-17,79
533,2019-06-18,81
534,2019-06-19,79
535,2019-06-20,69
536,2019-06-21,67
537,2019-06-22,75
538,2019-06-23,73
539,2019-06-24,72
540,2019-06-25,69
541,2019-06-26,62
542,2019-06-27,60
543,2019-06-28,62
544,2019-06-29,66
545,2019-06-30,69
546,2019-07-01,69
547,2019-07-02,69
548,2019-07-03,69
549,2019-07-04,71
550,2019-07-05,75
551,2019-07-06,74
552,2019-07-07,71
553,2019-07-08,67
554,2019-07-09,70
555,2019-07-10,73
556,2019-07-11,77
557,2019-07-12,79
558,2019-07-13,79
559,2019-07-14,76
560,2019-07-15,76
561,2019-07-16,73
562,2019-07-17,75
563,2019-07-18,75
564,2019-07-19,74
565,2019-07-20,74
566,2019-07-21,75
567,2019-07-22,79
568,2019-07-23,79
569,2019-07-24,81
570,2019-07-25,81
571,2019-07-26,79
572,2019-07-27,84
573,2019-07-28,83
574,2019-07-29,79
575,2019-07-30,76
576,2019-07-31,78
577,2019-08-01,76
578,2019-08-02,78
579,2019-08-03,79
580,2019-08-04,78
581,2019-08-05,79
582,2019-08-06,80
583,2019-08-07,79
584,2019-08-08,74
585,2019-08-09,68
586,2019-08-10,63
587,2019-08-11,70
588,2019-08-12,75
589,2019-08-13,79
590,2019-08-14,84
591,2019-08-15,85
592,2019-08-16,83
593,2019-08-17,79
594,2019-08-18,74
595,2019-08-19,74
596,2019-08-20,76
597,2019-08-21,77
598,2019-08-22,77
599,2019-08-23,80
600,2019-08-24,80
601,2019-08-25,80
602,2019-08-26,85
603,2019-08-27,84
604,2019-08-28,82
605,2019-08-29,77
606,2019-08-30,77
607,2019-08-31,78
608,2019-09-01,79
609,2019-09-02,79
610,2019-09-03,80
611,2019-09-04,82
612,2019-09-05,79
613,2019-09-06,76
614,2019-09-07,72
615,2019-09-08,63
616,2019-09-09,63
617,2019-09-10,61
618,2019-09-11,69
619,2019-09-12,74
620,2019-09-13,78
621,2019-09-14,79
622,2019-09-15,73
623,2019-09-16,54
624,2019-09-17,60
625,2019-09-18,51
626,2019-09-19,55
627,2019-09-20,62
628,2019-09-21,67
629,2019-09-22,66
630,2019-09-23,71
631,2019-09-24,83
632,2019-09-25,83
633,2019-09-26,76
634,2019-09-27,65
635,2019-09-28,50
636,2019-09-29,42
637,2019-09-30,42
638,2019-10-01,52
639,2019-10-02,58
640,2019-10-03,56
641,2019-10-04,57
642,2019-10-05,64
643,2019-10-06,70
644,2019-10-07,70
645,2019-10-08,68
646,2019-10-09,60
647,2019-10-10,62
648,2019-10-11,62
649,2019-10-12,62
650,2019-10-13,60
651,2019-10-14,64
652,2019-10-15,65
653,2019-10-16,64
654,2019-10-17,49
655,2019-10-18,53
656,2019-10-19,47
657,2019-10-20,61
658,2019-10-21,70
659,2019-10-22,72
660,2019-10-23,66
661,2019-10-24,71
662,2019-10-25,71
663,2019-10-26,67
664,2019-10-27,44
665,2019-10-28,53
666,2019-10-29,52
667,2019-10-30,M
668,2019-10-31,M
669,2019-11-01,67
670,2019-11-02,66
671,2019-11-03,67
672,2019-11-04,70
673,2019-11-05,68
674,2019-11-06,65
675,2019-11-07,66
676,2019-11-08,68
677,2019-11-09,67
678,2019-11-10,68
679,2019-11-11,70
680,2019-11-12,65
681,2019-11-13,64
682,2019-11-14,61
